audio_id,video_id,title,source,source_url,audio_file_path,translation_file_path,translation_status,duration_sec,sample_rate,channels,format
yt_OG6MrNRgQQI,OG6MrNRgQQI,Cứ nghĩ lớn rồi số phận sẽ trả lời - Nhà văn Nguyễn Một | #HaveASip 186,youtube,https://www.youtube.com/watch?v=OG6MrNRgQQI,/data/processed/audio/yt_OG6MrNRgQQI.wav,data/processed/translations/yt_OG6MrNRgQQI.txt,ready,4610.728,16000,1,wav
yt_jEZc8uRCgy4,jEZc8uRCgy4,"Miền Trung, Ta thương... || SỐNG Radio #5",youtube,https://www.youtube.com/watch?v=jEZc8uRCgy4,/data/processed/audio/yt_jEZc8uRCgy4.wav,data/processed/translations/yt_jEZc8uRCgy4.txt,ready,168.519,16000,1,wav
yt__d6bXwHj0HM,_d6bXwHj0HM,"Đọc Truyện Đêm Khuya Nghe Để Thấy Lòng Bình Yên, Như Thời Thơ Ấu | Giúp Giấc Ngủ Ngon Hơn | VOVLive",youtube,https://www.youtube.com/watch?v=_d6bXwHj0HM,/data/processed/audio/yt__d6bXwHj0HM.wav,data/processed/translations/yt__d6bXwHj0HM.txt,ready,4428.568,16000,1,wav
yt_JITAp46MzqQ,JITAp46MzqQ,[Sách nói] Tĩnh Lặng - Chương 1 | Thích Nhất Hạnh,youtube,https://www.youtube.com/watch?v=JITAp46MzqQ,/data/processed/audio/yt_JITAp46MzqQ.wav,data/processed/translations/yt_JITAp46MzqQ.txt,ready,4302.507,16000,1,wav
yt_gn4zjJ7_nxc,gn4zjJ7_nxc,"Tọa đàm trực tuyến ""Hạ tầng tạo sức bật cho bất động sản miền Trung cất cánh"" | VnExpress",youtube,https://www.youtube.com/watch?v=gn4zjJ7_nxc,/data/processed/audio/yt_gn4zjJ7_nxc.wav,data/processed/translations/yt_gn4zjJ7_nxc.txt,ready,5317.091,16000,1,wav
yt_eG7_ulqvsQU,eG7_ulqvsQU,Hot girl Hà tĩnh nói chuyện đọc thơ tiếng Nghệ cực hay,youtube,https://www.youtube.com/watch?v=eG7_ulqvsQU,/data/processed/audio/yt_eG7_ulqvsQU.wav,data/processed/translations/yt_eG7_ulqvsQU.txt,ready,2359.496,16000,1,wav
yt_zruyPws9LCs,zruyPws9LCs,Đúng chất Giọng Quảng Ngãi,youtube,https://www.youtube.com/watch?v=zruyPws9LCs,/data/processed/audio/yt_zruyPws9LCs.wav,data/processed/translations/yt_zruyPws9LCs.txt,ready,101.285,16000,1,wav
yt_grFVJNvt-Wc,grFVJNvt-Wc,GIỌNG BÌNH ĐỊNH NÓI THẾ NÀO,youtube,https://www.youtube.com/watch?v=grFVJNvt-Wc,/data/processed/audio/yt_grFVJNvt-Wc.wav,data/processed/translations/yt_grFVJNvt-Wc.txt,ready,132.4,16000,1,wav
yt_-zkkr-bHts0,-zkkr-bHts0,Anh Tây học tiếng Việt giọng Phú Yên,youtube,https://www.youtube.com/watch?v=-zkkr-bHts0,/data/processed/audio/yt_-zkkr-bHts0.wav,data/processed/translations/yt_-zkkr-bHts0.txt,missing,94.528,16000,1,wav
